step,time_s,red_score,looming,visible,attack,mode,danger_score,forward_velocity,dragonfly_state
2188,0.21879999999999222,0.0,0.0,False,False,normal,0.0,9.281596037854959,rest
2189,0.2188999999999922,0.0,0.0,False,False,normal,0.0,9.281489062392971,rest
2190,0.2189999999999922,0.0,0.0,False,False,normal,0.0,9.281387013584578,rest
2191,0.2190999999999922,0.0,0.0,False,False,normal,0.0,9.281289667725517,rest
2192,0.21919999999999218,0.0,0.0,False,False,normal,0.0,9.281196402300917,rest
2193,0.21929999999999217,0.0,0.0,False,False,normal,0.0,9.28110783599838,rest
2194,0.21939999999999216,0.0,0.0,False,False,normal,0.0,9.281026855060919,rest
2195,0.21949999999999215,0.0,0.0,False,False,normal,0.0,9.280955429107214,rest
2196,0.21959999999999213,0.0,0.0,False,False,normal,0.0,9.280894091935872,rest
2197,0.21969999999999212,0.0,0.0,False,False,normal,0.0,9.280842096104333,rest
2198,0.2197999999999921,0.0,0.0,False,False,normal,0.0,9.280797823199247,rest
2199,0.2198999999999921,0.0,0.0,False,False,normal,0.0,9.280759377691298,rest
2200,0.2199999999999921,0.0,0.0,False,False,normal,0.0,9.280725320801444,rest
2201,0.22009999999999208,0.0,0.0,False,False,normal,0.0,9.280695096856936,rest
2202,0.22019999999999207,0.0,0.0,False,False,normal,0.0,9.280667658874851,rest
2203,0.22029999999999206,0.0,0.0,False,False,normal,0.0,9.280643238314791,rest
2204,0.22039999999999205,0.0,0.0,False,False,normal,0.0,9.280624443481116,rest
2205,0.22049999999999204,0.0,0.0,False,False,normal,0.0,9.280613141574582,rest
2206,0.22059999999999202,0.0,0.0,False,False,normal,0.0,9.280609930041159,rest
2207,0.220699999999992,0.0,0.0,False,False,normal,0.0,9.280614246358219,rest
2208,0.220799999999992,0.0,0.0,False,False,normal,0.0,9.280624772529618,rest
2209,0.220899999999992,0.0,0.0,False,False,normal,0.0,9.280639803308997,rest
2210,0.22099999999999198,0.0,0.0,False,False,normal,0.0,9.280658046758335,rest
2211,0.22109999999999197,0.0,0.0,False,False,normal,0.0,9.280679034309387,rest
2212,0.22119999999999196,0.0,0.0,False,False,normal,0.0,9.280701716415956,rest
2213,0.22129999999999195,0.0,0.0,False,False,normal,0.0,9.28072630509253,rest
2214,0.22139999999999194,0.0,0.0,False,False,normal,0.0,9.280755368208517,rest
2215,0.22149999999999193,0.0,0.0,False,False,normal,0.0,9.28079080232955,rest
2216,0.22159999999999191,0.0,0.0,False,False,normal,0.0,9.280833297760365,rest
2217,0.2216999999999919,0.0,0.0,False,False,normal,0.0,9.280882489106556,rest
2218,0.2217999999999919,0.0,0.0,False,False,normal,0.0,9.280937248455942,rest
2219,0.22189999999999188,0.0,0.0,False,False,normal,0.0,9.280995868260216,rest
2220,0.22199999999999187,0.0,0.0,False,False,normal,0.0,9.281057018323434,rest
2221,0.22209999999999186,0.0,0.0,False,False,normal,0.0,9.281120198533317,rest
2222,0.22219999999999185,0.0,0.0,False,False,normal,0.0,9.281184315500324,rest
2223,0.22229999999999184,0.0,0.0,False,False,normal,0.0,9.28125038241843,rest
2224,0.22239999999999183,0.0,0.0,False,False,normal,0.0,9.281322322779925,rest
